Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
216,tt0120382,2023-04-26,2023-04-26,,"O Show de Truman: O Show da Vida","The Truman Show",https://www.imdb.com/title/tt0120382/,Filme,8.2,103,1998,"Comédia, Drama",1395308,1998-10-30,"Peter Weir",8,2023-04-26
217,tt0167404,2023-04-26,2023-04-26,,"O Sexto Sentido","The Sixth Sense",https://www.imdb.com/title/tt0167404/,Filme,8.2,107,1999,"Drama, Mistério, Suspense",1154774,1999-10-22,"M. Night Shyamalan",9,2023-04-26
218,tt6966692,2023-04-26,2023-04-26,,"Green Book: O Guia","Green Book",https://www.imdb.com/title/tt6966692/,Filme,8.2,130,2018,"Biografia, Comédia, Drama, Musical",697877,2019-01-24,"Peter Farrelly",7,2023-04-26
219,tt1130884,2023-04-26,2023-04-26,,"Ilha do Medo","Shutter Island",https://www.imdb.com/title/tt1130884/,Filme,8.2,138,2010,"Mistério, Suspense",1671793,2010-03-12,"Martin Scorsese",8,2023-04-26
220,tt0107290,2023-04-26,2023-04-26,,"Jurassic Park: O Parque dos Dinossauros","Jurassic Park",https://www.imdb.com/title/tt0107290/,Filme,8.2,127,1993,"Aventura, Ficção científica",1192406,1993-06-25,"Steven Spielberg",8,2023-04-26
221,tt0993846,2023-04-26,2023-04-26,,"O Lobo de Wall Street","The Wolf of Wall Street",https://www.imdb.com/title/tt0993846/,Filme,8.2,180,2013,"Biografia, Comédia, Policial, Drama",1813882,2014-01-24,"Martin Scorsese",8,2023-04-26
222,tt2911666,2023-04-26,2023-04-26,,"John Wick: De Volta ao Jogo","John Wick",https://www.imdb.com/title/tt2911666/,Filme,7.5,101,2014,"Ação, Policial, Suspense",836476,2014-11-27,"Chad Stahelski",6,2023-04-26
223,tt0066921,2023-04-26,2023-04-26,,"Laranja Mecânica","A Clockwork Orange",https://www.imdb.com/title/tt0066921/,Filme,8.2,136,1971,"Policial, Ficção científica",941682,1978-09-04,"Stanley Kubrick",10,2023-04-26
224,tt0361748,2023-04-26,2023-04-26,,"Bastardos Inglórios","Inglourious Basterds",https://www.imdb.com/title/tt0361748/,Filme,8.4,153,2009,"Drama, Guerra",1807737,2009-10-09,"Quentin Tarantino",8,2023-04-26
225,tt1187043,2023-04-26,2023-04-26,,"3 Idiotas","3 Idiots",https://www.imdb.com/title/tt1187043/,Filme,8.4,170,2009,"Comédia, Drama",487257,2010-01-01,"Rajkumar Hirani",10,2025-09-17
226,tt0112573,2023-04-26,2023-04-26,,"Coração Valente","Braveheart",https://www.imdb.com/title/tt0112573/,Filme,8.3,178,1995,"Drama, Guerra",1168581,1995-07-14,"Mel Gibson",10,2023-04-26
227,tt1853728,2023-04-26,2023-04-26,,"Django Livre","Django Unchained",https://www.imdb.com/title/tt1853728/,Filme,8.5,165,2012,"Drama, Faroeste",1903554,2013-01-18,"Quentin Tarantino",8,2023-04-26
228,tt1675434,2023-04-26,2023-04-26,,"Intocáveis","Intouchables",https://www.imdb.com/title/tt1675434/,Filme,8.5,112,2011,"Comédia, Drama",1037099,2012-08-31,"Olivier Nakache, Éric Toledano",9,2023-04-26
229,tt0482571,2023-04-26,2023-04-26,,"O Grande Truque","The Prestige",https://www.imdb.com/title/tt0482571/,Filme,8.5,130,2006,"Drama, Mistério, Ficção científica, Suspense",1613417,2006-11-02,"Christopher Nolan",8,2023-04-26
230,tt0110413,2023-04-26,2023-04-26,,"O Profissional","Léon",https://www.imdb.com/title/tt0110413/,Filme,8.5,110,1994,"Ação, Policial, Drama, Suspense",1360370,1995-02-17,"Luc Besson",9,2023-04-26
231,tt0088763,2023-04-26,2023-04-26,,"De Volta para o Futuro","Back to the Future",https://www.imdb.com/title/tt0088763/,Filme,8.5,116,1985,"Aventura, Comédia, Ficção científica",1467668,1985-12-25,"Robert Zemeckis",10,2023-04-26
232,tt0407887,2023-04-26,2023-04-26,,"Os Infiltrados","The Departed",https://www.imdb.com/title/tt0407887/,Filme,8.5,151,2006,"Policial, Drama, Suspense",1569909,2006-11-10,"Martin Scorsese",8,2023-04-26
233,tt6751668,2023-04-26,2023-04-26,,"Parasita","Gisaengchung",https://www.imdb.com/title/tt6751668/,Filme,8.5,132,2019,"Drama, Suspense",1185239,2019-11-07,"Bong Joon Ho",10,2023-04-26
234,tt2582802,2023-04-26,2023-04-26,,"Whiplash: Em Busca da Perfeição","Whiplash",https://www.imdb.com/title/tt2582802/,Filme,8.5,106,2014,"Drama, Musical",1172788,2015-01-08,"Damien Chazelle",3,2023-04-26
235,tt0317248,2023-04-26,2023-04-26,,"Cidade de Deus","Cidade de Deus",https://www.imdb.com/title/tt0317248/,Filme,8.6,130,2002,"Policial, Drama",878163,2002-08-30,"Fernando Meirelles, Kátia Lund",9,2023-04-26
236,tt0120815,2023-04-26,2023-04-26,,"O Resgate do Soldado Ryan","Saving Private Ryan",https://www.imdb.com/title/tt0120815/,Filme,8.6,169,1998,"Drama, Guerra",1654583,1998-09-11,"Steven Spielberg",9,2023-04-26
237,tt0120689,2023-04-26,2023-04-26,,"À Espera de um Milagre","The Green Mile",https://www.imdb.com/title/tt0120689/,Filme,8.6,189,1999,"Policial, Drama, Fantasia, Mistério",1576818,2000-03-10,"Frank Darabont",7,2023-04-26
238,tt0102926,2023-04-26,2023-04-26,,"O Silêncio dos Inocentes","The Silence of the Lambs",https://www.imdb.com/title/tt0102926/,Filme,8.6,118,1991,"Policial, Drama, Terror, Suspense",1739872,1991-05-17,"Jonathan Demme",10,2023-04-26
239,tt0114369,2023-04-26,2023-04-26,,"Seven - Os Sete Crimes Capitais","Se7en",https://www.imdb.com/title/tt0114369/,Filme,8.6,127,1995,"Policial, Drama, Mistério, Suspense",2046282,1995-12-15,"David Fincher",9,2023-04-26
240,tt0133093,2023-04-26,2023-04-26,,"Matrix","The Matrix",https://www.imdb.com/title/tt0133093/,Filme,8.7,136,1999,"Ação, Ficção científica",2267513,1999-05-21,"Lana Wachowski, Lilly Wachowski",8,2023-04-26
